id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	13c nmr	-0.0031	0.332	2	134	153	12	2016.25
2	2g ethanol	-0.3351	0.5016	2	97	120	11	2016.5455
3	30min	0.1156	0.7176	2	96	131	13	2013.2308
4	35c	-0.0947	0.2857	5	156	177	14	2013.7143
5	37c	0.0892	0.2518	5	202	225	17	2013.7647
6	3d structure	0.0763	-0.4113	4	220	256	15	2017
7	70c	0.1806	-0.1204	4	212	265	16	2013.25
8	a cm	1.9629	-0.1551	3	448	1263	60	2012.35
9	a cm2	1.99	-0.0549	3	345	845	39	2017.6667
10	a fumigatus	-0.0535	0.1054	4	109	126	11	2015.1818
11	a mm	1.9481	-0.1072	3	250	492	19	2014.9474
12	a niger	0.0382	-0.3025	4	385	641	41	2014.9268
13	a oryzae	0.1409	0.1132	4	225	309	21	2014.7619
14	a resolution	0.375	-0.4902	4	237	384	29	2014.931
15	aba	-0.4131	-0.5154	1	304	446	25	2015.96
16	abc transporter	-0.2592	-0.7187	1	151	208	13	2015
17	abe	-0.3049	0.088	2	763	1800	147	2016.3265
18	abe fermentation	-0.2853	0.1535	2	433	841	66	2016.4697
19	abe production	-0.3476	0.0521	2	255	427	31	2016.9032
20	abe yield	-0.3079	0.464	2	182	315	23	2015.3913
21	abiotic stress	-0.7818	-0.5621	1	231	363	22	2015.4091
22	aboveground biomass	-0.7847	-0.0315	2	106	121	11	2014.6364
23	abscisic acid	-0.8106	-0.5874	1	247	421	26	2015.8077
24	abt	1.6396	-0.0162	3	408	1047	50	2013.52
25	abts	1.0643	0.1344	3	203	288	17	2014.7059
26	abundant agricultural residue	-0.2115	0.5882	2	113	137	10	2016.1
27	abundant polysaccharide	-0.1246	-0.4491	4	134	181	13	2013.8462
28	abundant sugar	-0.1759	-0.4334	1	107	123	11	2016.0909
29	accase	-0.6557	-0.6717	1	186	269	13	2015.3846
30	accellerase	-0.0358	0.397	2	189	252	21	2014.1905
31	accession	-0.6659	-0.1514	2	427	800	61	2015.2295
32	accessory enzyme	0.0494	-0.0693	4	237	330	24	2014.4583
33	acclimation	-0.6803	-0.0886	5	277	384	26	2016.3846
34	acetaldehyde	0.3663	-0.5523	1	227	295	19	2014.6316
35	acetate production	-0.2737	-0.3715	1	248	322	24	2015.9583
36	acetoclastic methanogen	-0.6045	0.5422	5	155	260	16	2016.125
37	acetogen	-0.393	-0.2656	1	201	266	24	2016.7083
38	acetogenesis	-0.4052	0.0801	5	155	197	14	2016.0714
39	acetogenic bacterium	-0.3117	-0.2324	1	170	239	23	2016.8261
40	acetoin	-0.1607	-0.3782	1	165	237	21	2015.0952
41	acetolactate synthase	-0.1335	-0.6857	1	123	166	12	2016.0833
42	acetone butanol ethanol	-0.3124	0.0819	2	566	1194	98	2015.8878
43	acetone butanol ethanol fermentation	-0.302	0.192	2	170	267	22	2015.8636
44	acetyl coa	-0.3726	-0.7561	1	581	1296	82	2015.3659
45	acetyl coa carboxylase	-0.6499	-0.7138	1	370	686	39	2015.6667
46	acetyl coenzyme	-0.2762	-0.7251	1	151	208	14	2013.6429
47	acetyl group	-0.183	0.1399	2	181	222	16	2013.9375
48	acetylation	-0.2143	-0.2546	4	206	289	22	2015.9545
49	acid catalyst	0.2069	0.6428	6	425	826	62	2015.371
50	acid concentration	-0.1868	0.5083	2	863	1730	146	2014.7603
51	acid detergent fiber	-0.5503	0.0829	2	114	140	11	2016.4545
52	acid detergent lignin	-0.5129	0.0275	2	107	131	11	2013.7273
53	acid hydrolysate	-0.2975	0.1932	2	286	473	45	2013.4889
54	acid hydrolysis	-0.1887	0.4566	2	731	1504	156	2014.9167
55	acid insoluble lignin	-0.4946	0.2965	2	158	200	16	2015.5
56	acid metabolism	-0.5732	-0.5646	1	296	406	29	2016.3103
57	acid pre treatment	-0.2662	0.5883	2	173	207	22	2014.5
58	acid pretreatment	-0.2393	0.5008	2	862	1984	162	2015.2531
59	acid residue	0.1332	-0.47	4	484	744	47	2015.6809
60	acid sequence	0.0576	-0.5338	4	229	307	20	2015.9
61	acid substitution	-0.0185	-0.5677	1	197	256	19	2016.1053
62	acid value	0.0428	0.7319	6	362	845	51	2015.2745
63	acidic pretreatment	-0.3537	0.4295	2	97	109	10	2016.6
64	acidification	-0.4674	0.4577	5	476	799	66	2015.9091
65	acidogenesis	-0.4471	0.0625	5	362	569	41	2015.1463
66	acidogenic fermentation	-0.2698	0.3971	5	102	110	11	2016.0909
67	acp	-0.3273	-0.7136	1	393	764	46	2015.1087
68	acrocomia aculeata	0.0813	0.2287	6	100	124	11	2015.5455
69	actinobacteria	-0.3195	-0.1061	5	306	570	37	2015.2703
70	actinobacterium	-0.3146	-0.2301	4	173	218	20	2015.45
71	actinomycete	-0.2927	-0.0843	4	185	215	19	2014.7895
72	activated carbon	-0.0239	0.5183	2	329	461	39	2015.9231
73	activated charcoal	-0.2185	0.2026	2	166	204	16	2015.25
74	activated sludge	-0.576	0.2987	5	168	224	22	2015.6364
75	activation energy	0.1593	0.5601	2	698	1650	131	2016.5344
76	active center	1.6167	-0.1905	3	156	212	14	2015.8571
77	active enzyme	0.4676	-0.3291	4	597	978	60	2015.0333
78	active site	0.7263	-0.3279	4	1105	2795	186	2015.9194
79	active site residue	0.3446	-0.4643	4	131	156	11	2015.0909
80	acyl	-0.3285	-0.7476	1	343	581	34	2016.2353
81	acyl acceptor	0.3376	0.6639	6	212	460	27	2013.5185
82	acyl acp	-0.2645	-0.8198	1	224	362	21	2015.7143
83	acyl carrier protein	-0.335	-0.7865	1	332	701	39	2014.5385
84	acyl coa	-0.3189	-0.768	1	268	507	33	2015.7273
85	acyltransferase	-0.6006	-0.6788	1	553	1175	65	2016.3385
86	ad process	-0.5613	0.6578	5	204	330	27	2018.5926
87	adaptive evolution	-0.366	-0.4257	1	209	281	24	2016.5
88	adaptive laboratory evolution	-0.3509	-0.5219	1	200	260	24	2018.2917
89	adaptive mechanism	-0.7172	-0.4887	1	154	183	12	2015.6667
90	additional overexpression	-0.3062	-0.6638	1	107	138	10	2016.3
91	adenine dinucleotide	1.7168	-0.2782	3	288	510	23	2013.8261
92	adh	1.0284	-0.4109	3	585	1404	80	2014.275
93	adha	-0.2207	-0.7413	1	108	166	13	2015.7692
94	adhe	-0.1209	-0.6293	1	189	310	24	2014.9583
95	adhe2	-0.1669	-0.4259	1	123	199	14	2016
96	ado	0.0092	-0.7666	1	168	294	21	2016.6667
97	adp glucose pyrophosphorylase	-0.7968	-0.623	1	157	235	15	2015.4
98	adsorption capacity	0.155	0.4358	2	241	314	28	2017
99	aeration rate	-0.3622	-0.0326	1	226	289	22	2015.6364
100	afex	-0.2799	0.3703	2	459	857	58	2013.069
101	afex pretreatment	-0.3078	0.4479	2	132	206	14	2012.9286
102	affinity	0.6342	-0.264	4	949	1876	119	2015.437
103	afm	1.166	0.0927	3	413	722	41	2013.9756
104	ag agcl	1.8976	-0.1421	3	555	1851	86	2013.314
105	agar plate	-0.0673	-0.3122	4	227	316	26	2016.6923
106	agarase	0.0912	-0.2078	4	104	120	11	2015.8182
107	agave bagasse	-0.1652	0.7235	2	153	233	19	2018.1053
108	agcl	1.7712	-0.1245	3	245	425	19	2014.6316
109	aggregation	0.3187	0.0595	3	370	476	34	2016.2353
110	agitation rate	-0.206	0.2555	6	198	254	18	2013.7222
111	agitation speed	0.0228	0.4691	6	219	312	23	2014.3913
112	agricultural biogas plant	-0.5575	0.2752	5	119	153	12	2016.75
